"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Measure Start Date","Measure End Date"
"New Mexico",96,3,1,98,88,9,3,92,79,17,4,92,76,21,3,90,1603,410,26,04/01/2017,03/31/2018
"New York",96,4,0,98,90,8,2,94,83,14,3,93,80,18,2,92,53542,13274,25,04/01/2017,03/31/2018
"North Carolina",97,3,0,99,92,7,1,95,86,12,2,94,83,15,2,93,46196,13616,30,04/01/2017,03/31/2018
"North Dakota",97,3,0,98,91,8,1,95,77,21,2,92,75,24,1,91,1106,394,36,04/01/2017,03/31/2018
"Ohio",97,3,0,98,91,7,2,95,85,13,2,94,81,17,2,93,74888,22025,30,04/01/2017,03/31/2018
"Oklahoma",96,4,0,98,91,7,2,95,85,13,2,94,83,15,2,93,39600,9793,25,04/01/2017,03/31/2018
"Oregon",98,2,0,99,92,6,2,95,84,14,2,93,83,15,2,93,13311,4069,31,04/01/2017,03/31/2018
"Pennsylvania",97,3,0,98,91,7,2,95,86,12,2,94,83,15,2,93,49484,13740,28,04/01/2017,03/31/2018
"Puerto Rico",,,,,,,,,,,,,,,,,,,,,
"Rhode Island",98,2,0,99,90,8,2,94,87,11,2,95,86,12,2,94,1151,399,35,04/01/2017,03/31/2018
"South Carolina",96,4,0,98,92,7,1,95,82,15,3,93,80,18,2,92,3293,950,29,04/01/2017,03/31/2018
"South Dakota",98,2,0,99,89,8,3,93,89,9,2,95,89,9,2,96,3074,1300,43,04/01/2017,03/31/2018
"Tennessee",97,3,0,98,92,6,2,95,86,12,2,94,85,13,2,94,47510,11900,25,04/01/2017,03/31/2018
"Texas",96,3,1,98,91,7,2,95,86,12,2,94,85,13,2,94,60969,13942,23,04/01/2017,03/31/2018
"Utah",97,3,0,98,90,8,2,94,86,12,2,94,84,14,2,94,80288,19474,24,04/01/2017,03/31/2018
"Vermont",98,2,0,99,91,7,2,94,83,15,2,93,83,16,1,94,8553,2088,31,04/01/2017,03/31/2018
"Virgin Islands",,,,,,,,,,,,,,,,,,,,,
"Virginia",97,3,0,98,92,7,1,95,86,11,3,94,81,16,3,92,31295,8834,28,04/01/2017,03/31/2018
"Washington",97,3,0,98,91,7,2,94,83,14,3,93,82,16,2,93,42224,11383,27,04/01/2017,03/31/2018
"West Virginia",96,4,0,98,93,5,2,96,83,14,3,93,82,16,2,93,7145,1775,25,04/01/2017,03/31/2018
"Wisconsin",98,2,0,99,91,7,2,95,85,13,2,94,83,15,2,93,50670,17763,35,04/01/2017,03/31/2018
"Wyoming",96,3,1,98,91,8,1,95,78,18,4,92,80,17,3,92,3194,931,30,04/01/2017,03/31/2018

