State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date
"AR","Serious complications","PSI_90_SAFETY","2","40","2","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","44","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","41","1","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","37","0","5","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","40","0","4","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","20","0","10","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","Pressure sores","PSI_3_ULCER","1","42","1","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","44","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","29","0","9","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","2","40","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","33","0","7","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","4","27","1","8","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","Death rate for heart attack patients","MORT_30_AMI","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AS","Death rate for heart failure patients","MORT_30_HF","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AS","Death rate for pneumonia patients","MORT_30_PN","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AS","Death rate for COPD patients","MORT_30_COPD","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AS","Death rate for stroke patients","MORT_30_STK","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AS","Death rate for CABG surgery patients","MORT_30_CABG","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"AS","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","Pressure sores","PSI_3_ULCER","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","Broken hip from a fall after surgery","PSI_8_POST_HIP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","Blood stream infection after surgery","PSI_13_POST_SEPSIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AS","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","Death rate for heart attack patients","MORT_30_AMI","0","48","0","21","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AZ","Death rate for heart failure patients","MORT_30_HF","1","53","1","20","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AZ","Death rate for pneumonia patients","MORT_30_PN","1","66","2","9","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AZ","Death rate for COPD patients","MORT_30_COPD","4","50","1","20","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AZ","Death rate for stroke patients","MORT_30_STK","0","42","1","22","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AZ","Death rate for CABG surgery patients","MORT_30_CABG","0","25","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AZ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","49","0","5","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"AZ","Serious complications","PSI_90_SAFETY","5","55","4","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","62","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","55","2","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","53","0","6","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","58","0","3","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","35","2","15","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","Pressure sores","PSI_3_ULCER","1","63","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","64","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","50","0","5","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","0","58","0","3","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","50","0","5","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AZ","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","6","41","3","5","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","Death rate for heart attack patients","MORT_30_AMI","1","205","5","109","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CA","Death rate for heart failure patients","MORT_30_HF","7","226","36","63","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CA","Death rate for pneumonia patients","MORT_30_PN","19","235","43","40","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CA","Death rate for COPD patients","MORT_30_COPD","5","247","7","65","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CA","Death rate for stroke patients","MORT_30_STK","6","208","10","93","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CA","Death rate for CABG surgery patients","MORT_30_CABG","0","97","0","32","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","191","7","84","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"CA","Serious complications","PSI_90_SAFETY","10","282","6","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","296","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","6","282","1","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","268","0","20","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","285","0","5","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","157","1","111","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","Pressure sores","PSI_3_ULCER","13","275","7","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","296","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","6","258","0","21","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","0","289","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","2","262","0","20","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CA","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","7","251","4","22","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","Death rate for heart attack patients","MORT_30_AMI","0","34","0","36","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CO","Death rate for heart failure patients","MORT_30_HF","0","54","0","23","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CO","Death rate for pneumonia patients","MORT_30_PN","0","66","2","10","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CO","Death rate for COPD patients","MORT_30_COPD","3","48","0","22","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CO","Death rate for stroke patients","MORT_30_STK","0","36","0","37","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CO","Death rate for CABG surgery patients","MORT_30_CABG","1","14","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","48","2","10","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"CO","Serious complications","PSI_90_SAFETY","4","40","4","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","47","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","44","1","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","39","0","4","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","42","0","3","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","27","0","17","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","Pressure sores","PSI_3_ULCER","1","46","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","47","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","45","1","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","0","46","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","46","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CO","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","7","38","1","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","Death rate for heart attack patients","MORT_30_AMI","0","26","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CT","Death rate for heart failure patients","MORT_30_HF","0","27","2","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CT","Death rate for pneumonia patients","MORT_30_PN","0","27","3","1","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CT","Death rate for COPD patients","MORT_30_COPD","1","24","3","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CT","Death rate for stroke patients","MORT_30_STK","1","25","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CT","Death rate for CABG surgery patients","MORT_30_CABG","0","10","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"CT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","4","20","1","2","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"CT","Serious complications","PSI_90_SAFETY","5","25","0","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","29","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","26","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","27","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","27","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","18","0","7","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","Pressure sores","PSI_3_ULCER","7","22","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","29","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","26","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","1","26","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","26","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"CT","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","1","25","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","Death rate for heart attack patients","MORT_30_AMI","0","8","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"DC","Death rate for heart failure patients","MORT_30_HF","0","6","2","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"DC","Death rate for pneumonia patients","MORT_30_PN","0","7","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"DC","Death rate for COPD patients","MORT_30_COPD","0","7","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"DC","Death rate for stroke patients","MORT_30_STK","0","7","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"DC","Death rate for CABG surgery patients","MORT_30_CABG","0","1","1","1","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"DC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","5","0","2","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"DC","Serious complications","PSI_90_SAFETY","2","5","0","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","7","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","5","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","7","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","6","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","5","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","Pressure sores","PSI_3_ULCER","2","5","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","7","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","6","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","1","6","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","6","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DC","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","1","5","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"DE","Death rate for heart attack patients","MORT_30_AMI","0","6","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"DE","Death rate for heart failure patients","MORT_30_HF","0","6","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"DE","Death rate for pneumonia patients","MORT_30_PN","0","6","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"DE","Death rate for COPD patients","MORT_30_COPD","0","6","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"DE","Death rate for stroke patients","MORT_30_STK","0","5","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
