"CMS Certification Number","Facility Name","Address","City","County","State","Zip","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Measure Start Date","Measure End Date"
"05C0001750","Reagan St Surgery Center","10904 Reagan St","Los Alamitos",,"CA","90720",5625963140,95,4,1,97,86,10,4,91,84,13,3,94,82,15,3,93,,1287,438,34,04/01/2017,03/31/2018
"05C0001756","The Endoscopy Center","700 Garden View Ct., Suite 101","Encinitas",,"CA","92024",7602742700,97,3,0,98,88,9,3,92,87,11,2,94,85,14,1,95,,1022,360,35,04/01/2017,03/31/2018
"05C0001757","Grass Valley Outpatient Surgery Center, LP","408 Sierra College Dr","Grass Valley",,"CA","95945",5302712282,98,2,0,99,90,8,2,94,90,9,1,95,90,9,1,96,,1171,439,37,04/01/2017,03/31/2018
"05C0001764","Santa Clarita Surgery Center","26357 Mcbean Pkwy. # 100","Santa Clarita",,"CA","91355",6617998300,98,2,0,99,89,9,2,94,88,11,1,95,85,13,2,94,,1222,398,33,04/01/2017,03/31/2018
"05C0001778","Brentwood Surgery Center","2400 Balfour Rd. Ste. 320","Brentwood",,"CA","94513",9252402059,97,2,1,98,90,8,2,94,90,8,2,95,90,8,2,96,,1189,404,34,04/01/2017,03/31/2018
"05C0001784","Golden Gate Endoscopy Center","3370 Geary Blvd","San Francisco",,"CA","94118",4153797500,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001803","Pacific Endoscopy","17815 Newhope St","Fountain Valley",,"CA","92708",4698936573,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001830","Aspen Surgery Center","133 La Casa Via, Ste. 150","Walnut Creek",,"CA","94598",9252108415,97,3,0,98,91,8,1,95,87,12,1,95,88,11,1,95,,1292,444,34,04/01/2017,03/31/2018
"05C0001840","Oasis Surgery Center","815 Auto Center Dr.","Palmdale",,"CA","93551",6612066262,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001842","Scripps Encinitas Surgery Center","320 Santa Fe Dr., # Ll2","Encinitas",,"CA","92024",7606323900,97,3,0,98,92,7,1,95,89,10,1,95,85,14,1,95,,1263,486,38,04/01/2017,03/31/2018
"05C0001860","Talbert Surgical Associates","7677 Center Ave, # 104","Huntington Beach",,"CA","92647",7148818722,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001863","Hacienda Surgery Center","4626 Willow Rd. Ste 100","Pleasanton",,"CA","94588",9257346744,98,2,0,99,90,8,2,94,88,11,1,95,87,12,1,95,,1036,345,33,04/01/2017,03/31/2018
"05C0001867","Fountain Valley Surgery Center, LLC","11190 Warner Ave Suite 212","Fountain Valley",,"CA","92708",7143381650,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001870","North Bay Regional Surgery CTR","100 Rowland Way Ste 145","Novato",,"CA","94945",4152092510,98,1,1,99,88,9,3,93,87,11,2,95,88,10,2,95,,1282,399,31,04/01/2017,03/31/2018
"05C0001879","Scripps Clinic","15004 Innovation Dr.","San Diego",,"CA","92128",8586786955,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001886","Walnut Creek Endoscopy","365 Lennon Lane Suite 100","Walnut Creek",,"CA","94598",9252780568,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001888","SUTTER VALLEY MEDICAL FOUNDATION","8011 Don Ave,","Stockton",,"CA","95209",2099553001,99,1,0,99,94,5,1,96,91,8,1,96,92,6,2,96,,1394,481,35,04/01/2017,03/31/2018
"05C0001999","Sutter Medical Foundation","8200 Laguna Blvd","Elk Grove",,"CA","95758",9165445400,98,2,0,99,93,6,1,96,94,4,2,96,92,6,2,97,,816,250,31,04/01/2017,03/31/2018
"05C0002045","Surgery Center of San Jose","2581 Samaritan Dr., Ste. 308","San Jose",,"CA","95124",6504048455,98,1,1,99,95,4,1,97,93,5,2,96,86,13,1,95,"3",668,66,10,04/01/2017,03/31/2018
"05C0002058","UC Regents UCLA Dept of Medicine Professional Group","200 Medical Plaza Suite 365530","Los Angeles",,"CA","90095",6612537956,96,3,1,98,91,7,2,94,82,15,3,93,83,15,2,93,,1776,480,27,04/01/2017,03/31/2018
"05C0002079","Palo Alto Medical Foundation for Healthcare, Research & Education Surgery Center San","301 Industrial Rd","San Carlos",,"CA","94070",6505964200,99,1,0,100,95,4,1,97,97,3,0,98,98,2,0,99,,468,123,26,04/01/2017,03/31/2018
"05C0002080","Palo Alto Medical Foundation for Healthcare, Research & Education Surgery Center San","3120 Kearney St.","Fremont",,"CA","94538",5104983600,99,1,0,99,93,6,1,96,93,6,1,96,93,5,2,96,,2220,518,23,04/01/2017,03/31/2018
"06C0001028","Kaiser Permanente Surgery CTR","2045 Franklin St","Denver",,"CO","80205",3037644420,,,,,,,,,,,,,,,,,"4",,,,,
"06C0001058","Golden Ridge Surgery Center","660 Golden Ridge Rd., Ste. 110","Golden",,"CO","80401",3039631507,,,,,,,,,,,,,,,,,"4",,,,,
"06C0001079","Summit View Surgery Center, L.L.C.","7730 S Broadway","Littleton",,"CO","80122",3037302376,96,3,1,98,92,7,1,96,89,8,3,94,85,13,2,94,,1594,511,32,04/01/2017,03/31/2018
"06C0001080","Flatirons Surgery Center","70 Health Park Dr","Louisville",,"CO","80516",7208902721,98,2,0,99,90,9,1,94,87,11,2,94,84,15,1,94,,1175,343,29,04/01/2017,03/31/2018
"06C0001085","Crown Point Surgery Center","9397 Crown Crest Blvd. Ste. 110","Parker",,"CO","80138",7209746499,99,1,0,99,94,5,1,96,88,10,2,95,89,10,1,96,,900,263,29,04/01/2017,03/31/2018
"06C0001102","Northwest Regional ASC, LLC","10170 Church Ranch Way Ste. 110","Westminster",,"CO","80021",3033284400,99,0,1,99,93,6,1,96,92,8,0,95,90,9,1,96,,666,194,29,04/01/2017,03/31/2018
"06C0001110","Harvard Park Surgery Center","1000 E. Harvard Ave.","Denver",,"CO","80210",3037785816,97,3,0,98,91,7,2,95,83,14,3,93,82,16,2,93,,1360,516,38,04/01/2017,03/31/2018
"06C0001133","Greenwood Ambulatory Surgery Center, LLC","7447 E. Berry Ave. Ste. 100","Greenwood Village",,"CO","80111",7204934123,96,3,1,98,89,9,2,94,82,14,4,92,81,17,2,93,,1746,415,24,04/01/2017,03/31/2018
"06C0001145","Kaiser Permanente","10240 Park Meadows Dr","Lonetree",,"CO","80124",3036495628,,,,,,,,,,,,,,,,,"4",,,,,
"07C0001024","Fairfield Surgery Center, LLC","75 Kings Hwy Cutoff","Fairfield",,"CT","06824",2033372660,98,2,0,99,93,5,2,95,93,5,2,96,90,8,2,96,"2",1019,316,31,04/01/2017,03/31/2018
"07C0001048","North Haven Surgery Center","52 Washington Ave., Ste. 1","North Haven",,"CT","06473",2032347727,98,2,0,99,89,9,2,93,83,16,1,94,82,17,1,93,,1283,371,29,04/01/2017,03/31/2018
"09C0001001","Medstar Surgery Center","1145  19th St N.W., Suite 850","Washington",,"DC","20036",2022239040,,,,,,,,,,,,,,,,,"4",,,,,
"10C0001025","Surgery Center at University Park","983 South Beneva Rd","Sarasota",,"FL","34232",9413655355,96,4,0,98,89,9,2,93,81,15,4,93,81,15,4,91,,1014,395,39,04/01/2017,03/31/2018
"10C0001203","University Surgical Center, Inc.","7251 University Blvd.","Winter Park",,"FL","32792",4076770066,97,3,0,98,94,5,1,97,93,6,1,96,90,9,1,96,,1413,364,26,04/01/2017,03/31/2018
"10C0001214","The Outpatient Center of Boynton Beach","2351 South Seacrest Blvd","Boynton Beach",,"FL","33435",5617325900,95,4,1,97,86,9,5,90,81,16,3,92,82,15,3,93,,1337,351,26,04/01/2017,03/31/2018
"10C0001293","Winter Haven Ambulatory Surgical Center","325 Ave B Nw","Winter Haven",,"FL","33881",4698936573,97,3,0,99,90,7,3,94,87,11,2,95,87,11,2,95,,1506,499,33,04/01/2017,03/31/2018
"10C0001302","Tamarac Surgery Center, LLC","4485 N. State Rd. 7","Lauderdale Lakes",,"FL","33319",9547350096,97,3,0,98,90,7,3,94,79,18,3,92,78,18,4,91,,961,247,26,04/01/2017,03/31/2018
"10C0001313","Doctors Surgical Partnership LTD  dba Melbourne Same Day Surgery Center","1035 South Apollo Blvd","Melbourne",,"FL","32901",3214343581,,,,,,,,,,,,,,,,,"4",,,,,
"10C0001332","Laser & Surgery Center of The Palm Beaches","3602 Kyoto Gardens Dr","Palm Beach Gardens",,"FL","33410",5617993388,97,3,0,98,88,9,3,92,85,12,3,94,86,12,2,94,,1454,546,38,04/01/2017,03/31/2018
"10C0001354","Surgery Center of SW Florida, Inc","12631 Whitehall Dr","Ft. Myers",,"FL","33907",2397720500,,,,,,,,,,,,,,,,,"4",,,,,
"10C0001362","Destin Surgery Center","4485 Furling Lane","Destin",,"FL","32541",8506507606,99,1,0,99,94,5,1,96,91,7,2,96,91,7,2,96,,1330,496,37,04/01/2017,03/31/2018
"10C0001363","Doctors GI Partnership LTD dba Melbourne GI Center","1051 South Hickory St","Melbourne",,"FL","32901",3214343581,,,,,,,,,,,,,,,,,"4",,,,,
"10C0001377","Orlando Opthamology Surgery Center","105 Bonnie Loch Ct","Orlando",,"FL","32806",4074280040,,,,,,,,,,,,,,,,,"4",,,,,
"10C0001418","The Surgery Center at Jensen Beach, LLC","3995 Nw Goldenrod Rd","Jensen Beach",,"FL","34957",7724970020,97,3,0,98,88,9,3,92,88,10,2,94,85,14,1,94,,1408,627,45,04/01/2017,03/31/2018
"10C0001428","South Florida Ambulatory Surgical Center, LLC","6110 Se 70th St","South Miami",,"FL","33143",3056623100,94,5,1,97,88,8,4,92,82,14,4,93,76,19,5,90,,1313,295,22,04/01/2017,03/31/2018
"10C0001461","University Interventional Center","5102 N. Davis Hwy","Pensacola",,"FL","32503",8504395425,,,,,,,,,,,,,,,,,"4",,,,,
"10C0001474","Murdock Surgery Center","1400 Education Way","Port Charlotte",,"FL","33948",4698936573,97,3,0,98,86,10,4,91,85,11,4,93,84,14,2,94,,1188,558,47,04/01/2017,03/31/2018
"10C0001505","Lake Endoscopy Center","17355 S.E. 109th Terrace Rd","Summerfield",,"FL","34491",3522450846,,,,,,,,,,,,,,,,,"4",,,,,
"10C0001512","Tlc Outpatient Surgery and Laser Center","201 West Guava St","Lady Lake",,"FL","32159",3523915875,96,3,1,98,86,11,3,91,84,13,3,93,84,14,2,94,,1237,667,54,04/01/2017,03/31/2018
"10C0001528","Coral Ridge Outpatient Center","5301 North Dixie Hwy.","Oakland Park",,"FL","33334",9548323300,95,4,1,97,91,6,3,94,85,12,3,94,86,11,3,94,,1407,456,32,04/01/2017,03/31/2018
"10C0001539","Broward Speciality Surgical Center","7261 Sheridan St. Suite 100a","Hollywood",,"FL","33024",9543224222,97,3,0,98,91,7,2,94,89,9,2,95,89,11,0,96,,1226,261,21,04/01/2017,03/31/2018
"10C0001545","Surgicare of Miramar","14601 Sw 29th St, Suite #300","Miramar",,"FL","33027",4698936573,97,2,1,98,90,7,3,93,89,8,3,95,84,12,4,93,,1257,287,23,04/01/2017,03/31/2018
"10C0001549","Titusville Center for Surgical Excellence","814 S. Washington Ave.","Titusville",,"FL","32780",3215676300,98,2,0,99,93,6,1,96,91,8,1,96,93,6,1,97,,1403,668,48,04/01/2017,03/31/2018
"10C0001571","Surgery Centre of SW Florida","665 Del Prado Blvd S.","Cape Coral",,"FL","33990",2397723636,97,3,0,98,91,8,1,95,87,10,3,94,83,16,1,94,"2",1076,436,41,04/01/2017,03/31/2018
"10C0001576","The Outpatient Center of Delray","4675 Linton Blvd Ste 101","Delray Beach",,"FL","33445",5614999585,94,5,1,96,91,6,3,94,85,12,3,93,83,14,3,93,,1728,610,35,04/01/2017,03/31/2018
"11C0001006","Emory Healthcare","1365 Clifton Rd, Ne Suite Bt200","Atlanta",,"GA","30032",4047783348,98,2,0,99,89,7,4,93,90,7,3,95,87,11,2,95,,2204,388,18,04/01/2017,03/31/2018
"11C0001049","Resurgens Surgical Center","5671 Peachtree Dunwoody Rd","Atlanta",,"GA","30342",4045318617,98,2,0,99,93,6,1,96,89,9,2,95,89,8,3,95,,1076,315,29,04/01/2017,03/31/2018
"11C0001056","Endoscopy Center of Southeast Georgia, Inc","200 Maple Dr","Vidalia",,"GA","30474",9125381003,98,2,0,99,95,4,1,97,93,6,1,97,94,5,1,98,,802,275,34,04/01/2017,03/31/2018
"11C0001085","Northwest Georgia Orthopaedic Surgery Center","2550 Windy Hill Rd. #218","Marietta",,"GA","30067",7709538058,98,2,0,99,92,7,1,95,90,9,1,95,86,13,1,95,,1321,312,24,04/01/2017,03/31/2018
"11C0001164","Optim Surgery Center","210 East Derenne Ave.","Savannah",,"GA","31405",9126445300,95,4,1,97,88,9,3,93,87,11,2,95,85,12,3,93,,1551,490,32,04/01/2017,03/31/2018
"11C0001177","East West Surgery Center","2041 Mesa Valley Way #125","Austell",,"GA","30106",6783098100,97,3,0,98,90,8,2,94,92,7,1,95,85,12,3,93,,1224,346,28,04/01/2017,03/31/2018
"11C0001182","Roswell Surgery Center","1285 Hembree Rd., Suite 200c","Roswell",,"GA","30076",7707725520,99,1,0,99,92,7,1,95,89,10,1,95,89,10,1,96,,1387,382,28,04/01/2017,03/31/2018
"11C0001192","Lawrenceville Surgery Center","758 Old Norcross Rd. Ste. 125","Lawrenceville",,"GA","30046",6789870820,98,2,0,99,93,6,1,96,87,11,2,95,89,10,1,96,,1212,344,28,04/01/2017,03/31/2018
"11C0001205","Hamilton Ambulatory Surgery Center","1250  Broadrick Dr","Dalton",,"GA","30720",7068765000,,,,,,,,,,,,,,,,,"4",,,,,
"11C0001234","Orthopaedic South Surgical Partners, LLC","6645 Lake Dr.","Morrow",,"GA","30260",6784224280,98,2,0,99,91,7,2,94,90,9,1,95,86,12,2,94,,1119,302,27,04/01/2017,03/31/2018
"11C0001258","Thomas Eye Group","5995 Barfield Rd","Sandy Springs",,"GA","30328",6787817388,,,,,,,,,,,,,,,,,"4",,,,,
"11C0001279","Surgical Center for Urology","290 Country Club Dr., Suite 240","Stockbridge",,"GA","30281",6785651806,,,,,,,,,,,,,,,,,"4",,,,,
"11C0001307","Ortho Atlanta Surgery Center of Fayetteville, LLC","1265 W. Hwy 54, Ste. 103","Fayetteville",,"GA","30214",6782160771,,,,,,,,,,,,,,,,,"4",,,,,
"11C0001362","Ortho Atlanta Surgery CTR Austell LLC","3672 Marathon Cir Ste 120","Austell",,"GA","30106",6789458551,,,,,,,,,,,,,,,,,"4",,,,,
"11C0001370","Georgia Spine Surgery Center","1061 Dowdy Rd, Suite 103","Athens",,"GA","30606",7065439222,,,,,,,,,,,,,,,,,"4",,,,,
"11C0001383","Hughston Surgical Center","6262 Veterans Pkwy Unit. B","Columbus",,"GA","31909",7064943434,96,3,1,98,90,8,2,94,90,9,1,96,95,5,0,98,,1304,463,36,04/01/2017,03/31/2018
