"Value of care measure name","Value of care measure ID","Number of hospitals","Measure start date","Measure end date"
"Value of Care for heart failure patients - Worse mortality & average payment","TOT_MORT_30_HF_WORSE_PAYM_30_HF_AVERAGE","86","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart failure patients - Worse mortality & higher payment","TOT_MORT_30_HF_WORSE_PAYM_30_HF_HIGHER","22","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart failure patients - Average mortality & lower payment","TOT_MORT_30_HF_AVERAGE_PAYM_30_HF_LOWER","377","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart failure patients - Average mortality & average payment","TOT_MORT_30_HF_AVERAGE_PAYM_30_HF_AVERAGE","2396","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart failure patients - Average mortality & higher payment","TOT_MORT_30_HF_AVERAGE_PAYM_30_HF_HIGHER","448","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart failure patients - Better mortality & lower payment","TOT_MORT_30_HF_BETTER_PAYM_30_HF_LOWER","16","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart failure patients - Better mortality & average payment","TOT_MORT_30_HF_BETTER_PAYM_30_HF_AVERAGE","104","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart failure patients - Better mortality & higher payment","TOT_MORT_30_HF_BETTER_PAYM_30_HF_HIGHER","77","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Number of hospitals containing at least 25 heart attack cases","TOT_MORT_30_AMI_NUM_HOSPITALS","2299","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Number of hospitals containing at least 25 pneumonia cases","TOT_MORT_30_PN_NUM_HOSPITALS","4144","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Number of hospitals containing at least 25 heart failure cases","TOT_MORT_30_HF_NUM_HOSPITALS","3553","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for hip/knee replacement patients - Worse complications & lower payment","TOT_COMP_HIP_KNEE_WORSE_PAYM_90_HIP_KNEE_LOWER","10","2014-04-01 00:00:00","2017-03-31 00:00:00"
"Value of Care for hip/knee replacement patients - Worse complications & average payment","TOT_COMP_HIP_KNEE_WORSE_PAYM_90_HIP_KNEE_AVERAGE","12","2014-04-01 00:00:00","2017-03-31 00:00:00"
"Value of Care for hip/knee replacement patients - Worse complications & higher payment","TOT_COMP_HIP_KNEE_WORSE_PAYM_90_HIP_KNEE_HIGHER","22","2014-04-01 00:00:00","2017-03-31 00:00:00"
"Value of Care for hip/knee replacement patients - Average complications & lower payment","TOT_COMP_HIP_KNEE_AVERAGE_PAYM_90_HIP_KNEE_LOWER","973","2014-04-01 00:00:00","2017-03-31 00:00:00"
"Value of Care for hip/knee replacement patients - Average complications & average payment","TOT_COMP_HIP_KNEE_AVERAGE_PAYM_90_HIP_KNEE_AVERAGE","1035","2014-04-01 00:00:00","2017-03-31 00:00:00"
"Value of Care for hip/knee replacement patients - Average complications & higher payment","TOT_COMP_HIP_KNEE_AVERAGE_PAYM_90_HIP_KNEE_HIGHER","656","2014-04-01 00:00:00","2017-03-31 00:00:00"
"Value of Care for hip/knee replacement patients - Better complications & lower payment","TOT_COMP_HIP_KNEE_BETTER_PAYM_90_HIP_KNEE_LOWER","54","2014-04-01 00:00:00","2017-03-31 00:00:00"
"Value of Care for hip/knee replacement patients - Better complications & average payment","TOT_COMP_HIP_KNEE_BETTER_PAYM_90_HIP_KNEE_AVERAGE","11","2014-04-01 00:00:00","2017-03-31 00:00:00"
"Value of Care for hip/knee replacement patients - Better complications & higher payment","TOT_COMP_HIP_KNEE_BETTER_PAYM_90_HIP_KNEE_HIGHER","3","2014-04-01 00:00:00","2017-03-31 00:00:00"
"Number of hospitals containing at least 25 hip/knee replacement cases","TOT_COMP_HIP_KNEE_NUM_HOSPITALS","2776","2014-04-01 00:00:00","2017-03-31 00:00:00"
