State,Condition,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
"OR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","52","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","62","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"RI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","81","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","47","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","29","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","48","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TX","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"UT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","30","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","58","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","37","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","50","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","70","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","29","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AZ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","22","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"FL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GU","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"HI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ID","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"LA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ME","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MP","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ND","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NJ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NM","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","74","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"RI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TX","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"UT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AK","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","70","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AL","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","62","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AR","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","50","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AS","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AZ","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","52","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CA","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","54","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CO","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","59","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CT","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","75","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DC","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DE","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"FL","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","80","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GA","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","59","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GU","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
