Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Hospital overall rating footnote,Location
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"950 CAMPBELL AVENUE
WEST HAVEN, CT
(41.284944, -72.957522)"
36003F,CINCINNATI VA MEDICAL CENTER,3200 VINE STREET,CINCINNATI,OH,45220,HAMILTON,5138613100,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"3200 VINE STREET
CINCINNATI, OH
(39.137762, -84.509485)"
23009F,SAGINAW VA MEDICAL CENTER,1500 WEISS STREET,SAGINAW,MI,48602,SAGINAW,9894972500,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"1500 WEISS STREET
SAGINAW, MI
(43.443673, -83.960989)"
37012F,MUSKOGEE VA MEDICAL CENTER,1011 HONOR HEIGHTS DRIVE,MUSKOGEE,OK,74401,MUSKOGEE,9185773000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1011 HONOR HEIGHTS DRIVE
MUSKOGEE, OK
(35.765237, -95.413756)"
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,7656743321,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"1700 E. 38TH STREET
MARION, IN
(40.523747, -85.637229)"
38004F,VA ROSEBURG HEALTHCARE SYSTEM,913 NW GARDEN VALLEY BLVD.,ROSEBURG,OR,97471,DOUGLAS,5414401000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"913 NW GARDEN VALLEY BLVD.
ROSEBURG, OR
(43.228267, -123.365936)"
44013F,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,MEMPHIS,TN,38104,SHELBY,9015777200,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1030 JEFFERSON AVENUE
MEMPHIS, TN
(35.142527, -90.025951)"
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,3193380581,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"601 HIGHWAY 6 WEST
IOWA CITY, IA
(41.664557, -91.547615)"
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,2084221000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"500 W. FORT STREET
BOISE, ID
(43.619209, -116.194781)"
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"2300 RAMSEY STREET
FAYETTEVILLE, NC
(35.089013, -78.878476)"
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"508 FULTON STREET
DURHAM, NC
(36.009188, -78.937226)"
36008F,CHILLICOTHE VA MEDICAL CENTER,17273 STATE ROUTE 104,CHILLICOTHE,OH,45601,ROSS,7407731141,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"17273 STATE ROUTE 104
CHILLICOTHE, OH
(39.390327, -83.012669)"
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"421 N MAIN ST
LEEDS, MA
(42.348903, -72.689068)"
36007F,DAYTON VA MEDICAL CENTER,4100 WEST THIRD STREET,DAYTON,OH,45428,MONTGOMERY,9372686511,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"4100 WEST THIRD STREET
DAYTON, OH
(39.749383, -84.253134)"
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,5628268000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"5901 E. SEVENTH STREET
LONG BEACH, CA
(33.776172, -118.118925)"
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"700 SOUTH 19TH STREET
BIRMINGHAM, AL
(33.504722, -86.800922)"
26007F,POPLAR BLUFF VA MEDICAL CENTER,1500 N. WESTWOOD BLVD.,POPLAR BLUFF,MO,63901,BUTLER,5736864151,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"1500 N. WESTWOOD BLVD.
POPLAR BLUFF, MO
(36.771441, -90.417899)"
23012F,BATTLE CREEK VA MEDICAL CENTER,5500 ARMSTRONG RD.,BATTLE CREEK,MI,49037,CALHOUN,2699665600,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"5500 ARMSTRONG RD.
BATTLE CREEK, MI
(42.340162, -85.297885)"
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"76 VETERANS AVE.
BATH, NY
(42.34328, -77.344933)"
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"79 MIDDLEVILLE ROAD
NORTHPORT, NY
(40.899003, -73.306124)"
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,3523761611,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1601 S W ARCHER ROAD
GAINESVILLE, FL
(29.638214, -82.345877)"
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,5592285338,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"2615 E. CLINTON AVENUE
FRESNO, CA
(36.772278, -119.780173)"
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"2094 ALBANY POST ROAD
MONTROSE, NY
(41.244518, -73.9261)"
29004F,VA SOUTHERN NEVADA HEALTHCARE SYSTEM,6900 NORTH PECOS ROAD,N. LAS VEGAS,NV,89086,CLARK,7027919024,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"6900 NORTH PECOS ROAD
N. LAS VEGAS, NV
(36.284964, -115.094049)"
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1 VA CENTER
AUGUSTA, ME
(44.280377, -69.703621)"
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,4152214810,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"4150 CLEMENT STREET
SAN FRANCISCO, CA
(37.781135, -122.503917)"
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,5156995999,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"3600 30TH STREET
DES MOINES, IA
(41.627753, -93.658733)"
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"130 WEST KINGSBRIDGE ROAD
BRONX, NY
(40.868985, -73.902909)"
45086F,TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM),1901 VETERANS MEMORIAL DRIVE,TEMPLE,TX,76504,BELL,2547784811,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1901 VETERANS MEMORIAL DRIVE
TEMPLE, TX
(31.077985, -97.349105)"
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,8003828387,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"10535 HOSPITAL WAY
MATHER, CA
(38.572349, -121.296106)"
53004F,CHEYENNE VA MEDICAL CENTER,2360 E. PERSHING BLVD.,CHEYENNE,WY,82001,LARAMIE,3077787300,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"2360 E. PERSHING BLVD.
CHEYENNE, WY
(41.1457, -104.785544)"
52003F,MILWAUKEE VA MEDICAL CENTER,5000 W. NATIONAL AVENUE,MILWAUKEE,WI,53295,MILWAUKEE,4143842000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"5000 W. NATIONAL AVENUE
MILWAUKEE, WI
(43.019558, -87.976053)"
39004F,COATESVILLE VA MEDICAL CENTER,1400 BLACK HORSE HILL ROAD,COATESVILLE,PA,19320,CHESTER,6103847711,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"1400 BLACK HORSE HILL ROAD
COATESVILLE, PA
(39.999488, -75.799094)"
19048F,OVERTON BROOKS VA MEDICAL CENTER (SHREVEPORT),510 EAST STONER AVENUE,SHREVEPORT,LA,71101,CADDO,3184246037,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"510 EAST STONER AVENUE
SHREVEPORT, LA
(32.499989, -93.722414)"
39006F,LEBANON VA MEDICAL CENTER,1700 SOUTH LINCOLN AVENUE,LEBANON,PA,17042,LEBANON,7172285901,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1700 SOUTH LINCOLN AVENUE
LEBANON, PA
(40.314267, -76.408065)"
39005F,ERIE VA MEDICAL CENTER,135 EAST 38TH STREET,ERIE,PA,16504,ERIE,8148602576,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"135 EAST 38TH STREET
ERIE, PA
(42.102954, -80.064715)"
45074F,HOUSTON VA MEDICAL CENTER,2002 HOLCOMBE BLVD.,HOUSTON,TX,77030,HARRIS,7137947100,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"2002 HOLCOMBE BLVD.
HOUSTON, TX
(29.706565, -95.388512)"
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,8585528585,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"3350 LA JOLLA VILLAGE DRIVE
SAN DIEGO, CA
(32.871749, -117.232861)"
21020F,VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE,10 NORTH GREENE STREET,BALTIMORE,MD,21201,BALTIMORE CITY,4106057016,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"10 NORTH GREENE STREET
BALTIMORE, MD
(39.289736, -76.623709)"
43003F,VA BLACK HILLS HEALTHCARE SYSTEM - HOT SPRINGS,500 NORTH 5TH STREET,HOT SPRINGS,SD,57747,FALL RIVER,6057452000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"500 NORTH 5TH STREET
HOT SPRINGS, SD
(43.436405, -103.474309)"
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"3701 LOOP ROAD EAST
TUSCALOOSA, AL
(33.192627, -87.489306)"
36001F,CLEVELAND-WADE PARK VA MEDICAL CENTER,10701 EAST BLVD,CLEVELAND,OH,44106,CUYAHOGA,2167913800,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"10701 EAST BLVD
CLEVELAND, OH
(41.51251, -81.613526)"
40003F,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,SAN JUAN,PR,921,SAN JUAN,8004498729,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"10 CALLE CASIA
SAN JUAN, PR
(18.391963, -66.080443)"
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,4782772701,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1826 VETERANS BOULEVARD
DUBLIN, GA
(32.539309, -82.943102)"
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,7068232201,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1 FREEDOM WAY
AUGUSTA, GA
(33.468204, -82.025292)"
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"4300 WEST SEVENTH STREET
LITTLE ROCK, AR
(34.744875, -92.320904)"
26023F,COLUMBIA MO VA MEDICAL CENTER,800 HOSPITAL DR,COLUMBIA,MO,65201,BOONE,5738146000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"800 HOSPITAL DR
COLUMBIA, MO
(38.93762, -92.32861)"
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"150 S. HUNTINGTON AVENUE
JAMAICA PLAIN, MA
(42.327573, -71.110928)"
29002F,VA SIERRA NEVADA HEALTHCARE SYSTEM,975 KIRMAN AVENUE,RENO,NV,89502,WASHOE,7753281263,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"975 KIRMAN AVENUE
RENO, NV
(39.516208, -119.798481)"
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,3867553016,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"619 SOUTH MARION AVENUE
LAKE CITY, FL
(30.181821, -82.636981)"
39009F,PHILADELPHIA VA MEDICAL CENTER,3900 WOODLAND AVENUE,PHILADELPHIA,PA,19104,PHILADELPHIA,2158235857,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"3900 WOODLAND AVENUE
PHILADELPHIA, PA
(39.949643, -75.200386)"
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,8476881900,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"3001 GREENBAY ROAD
NORTH CHICAGO, IL
(42.308183, -87.862407)"
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,DISTRICT OF COLUMBIA,2027458000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"50 IRVING STREET N.W.
WASHINGTON, DC
(38.93115, -77.01083)"
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"830 CHALKSTONE AVENUE
PROVIDENCE, RI
(41.833915, -71.434938)"
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,4076311000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"13800 VETERANS WAY
ORLANDO, FL
(28.366629, -81.276612)"
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,3053244455,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1201 N W 16TH STREET
MIAMI, FL
(25.790451, -80.215294)"
39013F,WILKES BARRE VA MEDICAL CENTER,1111 EAST END BOULEVARD,WILKES-BARRE,PA,18711,LUZERNE,5708243521,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1111 EAST END BOULEVARD
WILKES-BARRE, PA
(41.248299, -75.83691)"
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"163 VETERANS DRIVE
WHITE RIVER JUNCTION, VT
(43.645876, -72.34186)"
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,8139722000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"13000 BRUCE B DOWNS BLVD.
TAMPA, FL
(28.064695, -82.426154)"
19043F,ALEXANDRIA VA MEDICAL CENTER,2495 SHREVEPORT HIGHWAY 71 N,PINEVILLE,LA,71360,RAPIDES,3184730010,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"2495 SHREVEPORT HIGHWAY 71 N
PINEVILLE, LA
(31.354985, -92.434224)"
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,5614228600,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"7305 N. MILITARY TRAIL
WEST PALM BEACH, FL
(26.784077, -80.107329)"
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DEKALB,4043216111,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1670 CLAIRMONT ROAD
DECATUR, GA
(33.802903, -84.310504)"
28006F,OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM),4101 WOOLWORTH AVENUE,OMAHA,NE,68105,DOUGLAS,4023468800,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"4101 WOOLWORTH AVENUE
OMAHA, NE
(41.245158, -95.974488)"
32005F,VA NEW MEXICO HEALTHCARE SYSTEM,1501 SAN PEDRO DRIVE SE,ALBUQUERQUE,NM,87108,BERNALILLO,5052562889,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1501 SAN PEDRO DRIVE SE
ALBUQUERQUE, NM
(35.054456, -106.577661)"
39001F,JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA),2907 PLEASANT VALLEY BOULEVARD,ALTOONA,PA,16602,BLAIR,8149438164,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"2907 PLEASANT VALLEY BOULEVARD
ALTOONA, PA
(40.488667, -78.398533)"
06007F,GRAND JUNCTION VA MEDICAL CENTER,2121 N. AVENUE,GRAND JUNCTION,CO,81501,MESA,9702441329,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"2121 N. AVENUE
GRAND JUNCTION, CO
(39.077321, -108.54079)"
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,9736761000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"385 TREMONT AVENUE
EAST ORANGE, NJ
(40.753827, -74.234193)"
44018F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,1310 24TH AVENUE SOUTH,NASHVILLE,TN,37212,DAVIDSON,6153275332,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1310 24TH AVENUE SOUTH
NASHVILLE, TN
(36.142321, -86.804796)"
37014F,OKLAHOMA CITY VA MEDICAL CENTER,921 NE 13TH STREET,OKLAHOMA CITY,OK,73104,OKLAHOMA,4052700501,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"921 NE 13TH STREET
OKLAHOMA CITY, OK
(35.482408, -97.495568)"
52004F,MADISON VA MEDICAL CENTER,2500 OVERLOOK TERRACE,MADISON,WI,53705,DANE,6082561901,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"2500 OVERLOOK TERRACE
MADISON, WI
(43.074477, -89.433629)"
51005F,MARTINSBURG VA MEDICAL CENTER,510 BUTLER AVE.,MARTINSBURG,WV,25405,BERKELEY,3042630811,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"510 BUTLER AVE.
MARTINSBURG, WV
(39.415543, -77.914109)"
