Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnotes,Measure Start Date,Measure End Date
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,0,30,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,310,361,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,115,356,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Preventive Care,IMM-2,Influenza Immunization,85,373,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,151,448,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,45,496,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,92,32,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,2,47,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05022F,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,SAN DIEGO,(619) 532-6392,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,226,165,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,74,163,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Preventive Care,IMM-2,Influenza Immunization,81,244,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,94,455,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,17,475,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,15,13,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05039F,NAVAL HOSPITAL TWENTYNINE PALMS,1145 STURGIS ROAD,TWENTYNINE PALMS,CA,92277,SAN BERNARDINO,(760) 830-2190,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,290,106,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,75,102,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Preventive Care,IMM-2,Influenza Immunization,47,188,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,79,273,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,37,241,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
05041F,"WEED ARMY COMMUNITY HOSPITAL, FT. IRWIN",BLDG 390 NORTH LOOK ROAD,FORT IRWIN,CA,92310,SAN BERNARDINO,(866) 957-9224,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,297,113,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,90,108,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Preventive Care,IMM-2,Influenza Immunization,68,494,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,144,402,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,64,457,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,8,39,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
06003F,"EVANS ARMY MEDICAL CENTER, FT. CARSON",1650 COCHRANE CIRCLE,FORT CARSON,CO,80913,EL PASO,(719) 526-7000,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,305,328,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,115,326,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,Preventive Care,IMM-2,Influenza Immunization,81,323,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
