"CMS Certification Number","Facility Name","Address","City","County","State","Zip","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Measure Start Date","Measure End Date"
"010061","HIGHLANDS MEDICAL CENTER","380 Woods Cove Road","Scottsboro",,"AL","35768",2562594444,95,4,1,97,88,9,3,93,74,21,5,90,71,26,3,89,,1134,366,33,04/01/2017,03/31/2018
"010062","WIREGRASS MEDICAL CENTER","1200 W Maple Avenue","Geneva",,"AL","36340",3346843655,97,3,0,98,92,6,2,95,80,18,2,94,86,13,1,95,,756,249,34,04/01/2017,03/31/2018
"010065","RUSSELL HOSPITAL","3316 Highway 280","Alexander City",,"AL","35010",2563297100,96,3,1,97,91,7,2,95,82,15,3,93,82,16,2,93,,1827,584,33,04/01/2017,03/31/2018
"010073","CLAY COUNTY HOSPITAL","83825 Highway 9    P O Box 1270","Ashland",,"AL","36251",2563542131,98,2,0,99,94,4,2,96,83,14,3,93,85,14,1,95,,408,170,43,04/01/2017,03/31/2018
"010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 East 10th Street","Anniston",,"AL","36207",2562355121,95,5,0,97,92,6,2,95,78,18,4,92,85,12,3,93,,893,322,37,04/01/2017,03/31/2018
"010079","ATHENS LIMESTONE HOSPITAL","700 West Market Street","Athens",,"AL","35611",2562339292,,,,,,,,,,,,,,,,,"4",,,,,
"010085","DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","1201 7th Street Se","Decatur",,"AL","35601",2569732000,,,,,,,,,,,,,,,,,"4",,,,,
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 Fillingim Street","Mobile",,"AL","36617",2514717110,,,,,,,,,,,,,,,,,"4",,,,,
"010092","D C H REGIONAL MEDICAL CENTER","809 University Boulevard East","Tuscaloosa",,"AL","35401",2057597111,96,4,0,98,93,6,1,96,83,15,2,93,81,17,2,92,,7685,1824,24,04/01/2017,03/31/2018
"010100","THOMAS HOSPITAL","750 Morphy Avenue","Fairhope",,"AL","36532",2512792375,95,4,1,97,91,7,2,94,81,16,3,93,89,10,1,96,,2031,625,31,04/01/2017,03/31/2018
"010109","PICKENS COUNTY MEDICAL CENTER","241 Robert K Wilson Drive","Carrollton",,"AL","35447",2053678111,,,,,,,,,,,,,,,,,"4",,,,,
"010113","MOBILE INFIRMARY MEDICAL CENTER","5 Mobile Infirmary Circle","Mobile",,"AL","36607",2514354700,95,4,1,97,89,8,3,93,80,18,2,93,85,13,2,94,,1855,615,34,04/01/2017,03/31/2018
"010120","MONROE COUNTY HOSPITAL","2016 South Alabama Avenue","Monroeville",,"AL","36460",2515753111,,,,,,,,,,,,,,,,,"4",,,,,
"010126","TROY REGIONAL MEDICAL CENTER","1330 Highway 231 South","Troy",,"AL","36081",3346705000,95,5,0,97,91,7,2,95,75,21,4,91,73,24,3,90,,1658,556,34,04/01/2017,03/31/2018
"010129","NORTH BALDWIN INFIRMARY","1815 Hand Avenue","Bay Minette",,"AL","36507",2519375521,95,4,1,97,89,7,4,93,78,18,4,92,84,14,2,94,,1777,466,27,04/01/2017,03/31/2018
"010144","SPRINGHILL MEDICAL CENTER","3719 Dauphin Street","Mobile",,"AL","36608",2513449630,93,6,1,96,89,8,3,93,80,16,4,93,81,16,3,92,,1266,410,33,04/01/2017,03/31/2018
"010148","EVERGREEN MEDICAL CENTER","101 Crestview Avenue","Evergreen",,"AL","36401",2515782480,94,5,1,97,88,10,2,93,80,15,5,92,82,18,0,94,"3",327,94,29,04/01/2017,03/31/2018
"010164","COOSA VALLEY MEDICAL CENTER","315 W Hickory St","Sylacauga",,"AL","35150",2562495000,95,4,1,97,90,7,3,94,79,17,4,92,79,19,2,92,,1626,582,37,04/01/2017,03/31/2018
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 River Chase Drive","Phenix City",,"AL","36867",3347323000,96,3,1,98,91,7,2,94,90,7,3,94,91,8,1,96,,1968,398,20,04/01/2017,03/31/2018
"010169","ATMORE COMMUNITY HOSPITAL","401 Medical Park Drive","Atmore",,"AL","36502",2513682500,93,6,1,96,90,8,2,94,72,22,6,90,72,23,5,89,,923,274,31,04/01/2017,03/31/2018
"020001","PROVIDENCE ALASKA MEDICAL CENTER","3200 Providence Dr.,po Box 196604","Anchorage",,"AK","99519",9075622211,97,3,0,98,92,7,1,96,87,10,3,94,86,13,1,95,,2024,491,24,04/01/2017,03/31/2018
"021306","PROVIDENCE KODIAK ISLAND MEDICAL CTR","1915 East Rezanof Drive","Kodiak",,"AK","99615",9074863281,97,3,0,99,95,5,0,97,84,13,3,94,86,12,2,95,,463,112,24,04/01/2017,03/31/2018
"030006","TUCSON MEDICAL CENTER","5301 E. Grant Road","Tucson",,"AZ","85712",5203275461,,,,,,,,,,,,,,,,,"4",,,,,
"030007","VERDE VALLEY MEDICAL CENTER","269 S. Candy Lane","Cottonwood",,"AZ","86326",9286396000,97,3,0,98,91,7,2,95,82,15,3,93,77,21,2,91,,1993,600,30,04/01/2017,03/31/2018
"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 Willow Creek Road","Prescott",,"AZ","86301",9284452700,97,3,0,99,90,8,2,94,86,13,1,94,82,15,3,92,,1494,616,41,04/01/2017,03/31/2018
"030013","YUMA REGIONAL MEDICAL CENTER","2400 S. Avenue A","Yuma",,"AZ","85364",9283442000,95,5,0,97,83,13,4,89,79,18,3,92,75,23,2,91,,1749,411,24,04/01/2017,03/31/2018
"030022","MARICOPA MEDICAL CENTER","2601 East Roosevelt Street","Phoenix",,"AZ","85008",6023445011,,,,,,,,,,,,,,,,,"4",,,,,
"030023","FLAGSTAFF MEDICAL CENTER","1200 N. Beaver Street","Flagstaff",,"AZ","86002",9287793366,95,4,1,97,90,8,2,94,82,15,3,93,86,13,1,94,,2700,609,23,04/01/2017,03/31/2018
"030037","ST LUKE'S MEDICAL CENTER","1800 E. Van Buren St.","Phoenix",,"AZ","85006",6022518156,,,,,,,,,,,,,,,,,"4",,,,,
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 Show Low Lake Rd.","Show Low",,"AZ","85901",9285374375,98,2,0,99,90,9,1,95,86,13,1,94,83,14,3,93,,709,191,27,04/01/2017,03/31/2018
"030107","ARIZONA SPINE AND JOINT HOSPITAL","4620 East Baseline Road","Mesa",,"AZ","85206",4808324770,97,3,0,99,92,7,1,95,92,6,2,96,90,8,2,96,,1749,693,40,04/01/2017,03/31/2018
"030108","THE CORE INSTITUTE SPECIALTY HOSPITAL","6501 North 19th Avenue","Phoenix",,"AZ","85015",6027956020,,,,,,,,,,,,,,,,,"4",,,,,
"030112","ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL","2905 West Warner Road","Chandler",,"AZ","85225",4806039000,98,2,0,99,92,7,1,95,86,12,2,94,88,10,2,95,,1333,378,28,04/01/2017,03/31/2018
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 South Crismon Road","Mesa",,"AZ","85209",4803586100,,,,,,,,,,,,,,,,,"4",,,,,
"030131","O.A.S.I.S. HOSPITAL","750 North 40th Street","Phoenix",,"AZ","85008",6027977700,98,2,0,99,92,7,1,96,90,8,2,95,89,9,2,95,,1150,321,30,04/01/2017,03/31/2018
"030137","GREEN VALLEY HOSPITAL","4455 South I-19 Frontage Road","Green Valley",,"AZ","85614",6024718190,,,,,,,,,,,,,,,,,"4",,,,,
"040002","JOHNSON REGIONAL MEDICAL CENTER","Po Box 738","Clarksville",,"AR","72830",4797545454,,,,,,,,,,,,,,,,,"4",,,,,
"040014","WHITE COUNTY MEDICAL CENTER","3214 E Race Ave","Searcy",,"AR","72143",5012686121,95,4,1,97,91,7,2,94,80,17,3,93,81,17,2,92,"5",1143,334,30,04/01/2017,03/31/2018
"040015","MENA REGIONAL HEALTH SYSTEM","311 Morrow St N","Mena",,"AR","71953",4793946100,,,,,,,,,,,,,,,,,"4",,,,,
"040016","UAMS MEDICAL CENTER","4301 W Markham St Slot 539","Little Rock",,"AR","72205",5016865000,93,6,1,96,91,7,2,95,82,13,5,92,82,13,5,92,,1789,401,22,04/01/2017,03/31/2018
"040027","BAXTER REGIONAL MEDICAL CENTER","624 Hospital Dr","Mountain Home",,"AR","72653",8705081000,96,4,0,98,88,10,2,93,84,14,2,94,80,18,2,92,,2057,682,33,04/01/2017,03/31/2018
"040039","ARKANSAS METHODIST MEDICAL CENTER","900 W Kings Highway,po Box 339","Paragould",,"AR","72451",8702397000,,,,,,,,,,,,,,,,,"4",,,,,
"040069","GREAT RIVER MEDICAL CENTER","1520 N Division St,po Box 108","Blytheville",,"AR","72315",8708387300,,,,,,,,,,,,,,,,,"4",,,,,
"040118","NEA BAPTIST MEMORIAL HOSPITAL","4800 E Johnson Ave","Jonesboro",,"AR","72401",8709361000,97,3,0,99,90,8,2,94,89,10,1,96,89,9,2,96,,3488,887,25,04/01/2017,03/31/2018
"040134","ARKANSAS HEART HOSPITAL, LLC","1701 S Shackleford Rd","Little Rock",,"AR","72211",5012197000,97,3,0,98,90,8,2,94,90,7,3,95,93,5,2,97,,3000,982,33,04/01/2017,03/31/2018
"041313","OZARK HEALTH","Po Box 206","Clinton",,"AR","72031",5017457000,,,,,,,,,,,,,,,,,"4",,,,,
"041328","CHICOT MEMORIAL MEDICAL CENTER","2729 S Highway 65 82","Lake Village",,"AR","71653",8702655351,,,,,,,,,,,,,,,,,"4",,,,,
"050002","ST ROSE HOSPITAL","27200 Calaroga Ave","Hayward",,"CA","94545",5102644000,,,,,,,,,,,,,,,,,"4",,,,,
"050006","ST JOSEPH HOSPITAL","2700 Dolbeer Street","Eureka",,"CA","95501",7074458121,,,,,,,,,,,,,,,,,"4",,,,,
"050007","PENINSULA MEDICAL CENTER","1501 Trousdale Drive","Burlingame",,"CA","94010",6506965400,98,2,0,99,92,6,2,95,89,9,2,95,89,9,2,95,,5009,1642,33,04/01/2017,03/31/2018
"050008","CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP","9100 Foothills Blvd,po Box 619091, C/O Sutter Shar","Roseville",,"CA","95747",4156006000,97,2,1,98,90,8,2,94,83,15,2,93,83,15,2,94,,1488,376,25,04/01/2017,03/31/2018
"050009","QUEEN OF THE VALLEY MEDICAL CENTER","1000 Trancas St","Napa",,"CA","94558",7072524411,,,,,,,,,,,,,,,,,"4",,,,,
"050013","ADVENTIST HEALTH ST HELENA","10 Woodland Road","Saint Helena",,"CA","94574",7079633611,95,4,1,97,86,10,4,91,85,11,4,93,89,10,1,96,,1535,293,20,04/01/2017,03/31/2018
"050014","SUTTER AMADOR HOSPITAL","200 Mission Blvd","Jackson",,"CA","95642",2092237500,97,3,0,98,90,8,2,94,82,15,3,93,81,17,2,93,,1013,302,30,04/01/2017,03/31/2018
"050043","ALTA BATES SUMMIT MEDICAL CENTER","350 Hawthorne Avenue","Oakland",,"CA","94609",5106554000,96,3,1,97,91,7,2,95,84,14,2,93,83,14,3,93,,1942,437,23,04/01/2017,03/31/2018
"050045","EL CENTRO REGIONAL MEDICAL CENTER","1415 Ross Avenue","El Centro",,"CA","92243",7603397100,,,,,,,,,,,,,,,,,"4",,,,,
"050047","CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","9100 Foothills Blvd,po Box 619091, C/O Sutter Shar","Roseville",,"CA","95747",4156006000,93,6,1,96,89,9,2,93,79,16,5,91,78,18,4,90,,5062,1218,24,04/01/2017,03/31/2018
"050055","CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","3555 Cesar Chavez Street","San Francisco",,"CA","94110",4156416562,96,4,0,98,90,7,3,93,78,18,4,91,73,26,1,90,,802,177,22,04/01/2017,03/31/2018
"050063","HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","1300 N Vermont Ave","Los Angeles",,"CA","90027",2134133000,93,6,1,96,85,11,4,90,76,19,5,91,70,25,5,88,,2009,324,16,04/01/2017,03/31/2018
"050069","ST JOSEPH HOSPITAL","1100 West Stewart Dr","Orange",,"CA","92868",7146339111,,,,,,,,,,,,,,,,,"4",,,,,
"050070","KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO","1200 El Camino Real","South San Francisco",,"CA","94080",6507423200,,,,,,,,,,,,,,,,,"4",,,,,
"050071","KAISER FOUNDATION HOSPITAL-SANTA CLARA","700 Lawrence Expressway","Santa Clara",,"CA","95051",4082366400,,,,,,,,,,,,,,,,,"4",,,,,
"050072","KAISER FOUNDATION HOSPITAL - WALNUT CREEK","1425 S Main Street","Walnut Creek",,"CA","94596",9252954000,,,,,,,,,,,,,,,,,"4",,,,,
"050073","KAISER FOUNDATION HOSPITAL AND REHAB CENTER","975 Sereno Dr","Vallejo",,"CA","94589",7076511000,,,,,,,,,,,,,,,,,"4",,,,,
"050075","KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND","275 W Macarthur Boulevard","Oakland",,"CA","94611",5107521000,,,,,,,,,,,,,,,,,"4",,,,,
"050076","KAISER FOUNDATION HOSPITAL - SAN FRANCISCO","2425 Geary Blvd","San Francisco",,"CA","94115",4158332646,,,,,,,,,,,,,,,,,"4",,,,,
"050077","SCRIPPS MERCY HOSPITAL","4077 Fifth Ave, Mer 38","San Diego",,"CA","92103",6192948111,,,,,,,,,,,,,,,,,"4",,,,,
"050078","PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO","1300 W 7th St","San Pedro",,"CA","90732",3108323311,95,4,1,97,89,9,2,93,84,12,4,92,79,19,2,92,,1100,266,24,04/01/2017,03/31/2018
"050099","SAN ANTONIO REGIONAL HOSPITAL","999 San Bernardino Road","Upland",,"CA","91786",9099852811,95,4,1,97,85,11,4,90,80,17,3,93,84,14,2,94,,1634,388,24,04/01/2017,03/31/2018
"050101","SUTTER SOLANO MEDICAL CENTER","300 Hospital Dr","Vallejo",,"CA","94589",7075544444,95,5,0,97,92,6,2,95,83,13,4,93,82,15,3,93,,1140,287,25,04/01/2017,03/31/2018
"050104","SAINT FRANCIS MEDICAL CENTER","3630 East Imperial Highway","Lynwood",,"CA","90262",3109008900,,,,,,,,,,,,,,,,,"4",,,,,
"050108","SUTTER MEDICAL CENTER, SACRAMENTO","2825 Capitol Avenue","Sacramento",,"CA","95816",9164542222,98,2,0,99,92,6,2,95,90,8,2,95,89,9,2,96,,2035,550,27,04/01/2017,03/31/2018
"050112","SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL","1250 16th Street","Santa Monica",,"CA","90404",3103194000,96,3,1,98,91,7,2,94,86,12,2,94,87,10,3,94,,3772,964,26,04/01/2017,03/31/2018
"050126","VALLEY PRESBYTERIAN HOSPITAL","15107 Vanowen St","Van Nuys",,"CA","91405",8187826600,,,,,,,,,,,,,,,,,"4",,,,,
"050131","NOVATO COMMUNITY HOSPITAL","180 Rowland Way","Novato",,"CA","94945",4152091300,98,2,0,99,90,7,3,94,87,11,2,95,88,10,2,95,,813,279,34,04/01/2017,03/31/2018
"050132","SAN GABRIEL VALLEY MEDICAL CENTER","438 W Las Tunas Drive","San Gabriel",,"CA","91776",6262895454,90,9,1,94,82,12,6,88,75,18,7,90,76,20,4,90,,2137,277,17,04/01/2017,03/31/2018
"050133","RIDEOUT MEMORIAL HOSPITAL","726 4th St","Marysville",,"CA","95901",5307494300,94,5,1,97,88,9,3,92,67,28,5,89,58,38,4,84,,1284,304,24,04/01/2017,03/31/2018
"050137","KAISER FOUNDATION HOSPITAL - PANORAMA CITY","13652 Cantara St","Panorama City",,"CA","91402",8183752000,,,,,,,,,,,,,,,,,"4",,,,,
"050138","KAISER FOUNDATION HOSPITAL - LOS ANGELES","4867 Sunset Blvd","Los Angeles",,"CA","90027",3237834011,,,,,,,,,,,,,,,,,"4",,,,,
"050139","KAISER FOUNDATION HOSPITAL - DOWNEY","9333 E Imperial Highway","Downey",,"CA","90242",5626579000,,,,,,,,,,,,,,,,,"4",,,,,
"050140","KAISER FOUNDATION HOSPITAL FONTANA","9961 Sierra Ave","Fontana",,"CA","92335",9094275000,,,,,,,,,,,,,,,,,"4",,,,,
"050145","COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","23625 W R Holman Highway","Monterey",,"CA","93940",8316245311,,,,,,,,,,,,,,,,,"4",,,,,
"050159","VENTURA COUNTY MEDICAL CENTER","3291 Loma Vista Rd","Ventura",,"CA","93003",8056526075,93,6,1,96,86,10,4,91,77,18,5,91,76,20,4,90,,3224,682,21,04/01/2017,03/31/2018
"050168","ST JUDE MEDICAL CENTER","101 E Valencia Mesa Drive","Fullerton",,"CA","92835",7149923000,,,,,,,,,,,,,,,,,"4",,,,,
"050174","SANTA ROSA MEMORIAL HOSPITAL","1165 Montgomery Dr","Santa Rosa",,"CA","95405",7075255300,,,,,,,,,,,,,,,,,"4",,,,,
"050180","JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS","1601 Ygnacio Valley Rd","Walnut Creek",,"CA","94598",9259393000,,,,,,,,,,,,,,,,,"4",,,,,
"050189","GEORGE L MEE MEMORIAL HOSPITAL","300 Canal Street","King City",,"CA","93930",8313856000,,,,,,,,,,,,,,,,,"4",,,,,
"050204","PALMDALE REGIONAL MEDICAL CENTER","38600 Medical Center Drive","Palmdale",,"CA","93552",6613825000,93,6,1,96,85,11,4,90,80,16,4,92,78,18,4,91,,1114,276,25,04/01/2017,03/31/2018
"050222","SHARP CHULA VISTA MEDICAL CENTER","751 Medical Center Court","Chula Vista",,"CA","91911",6195025800,,,,,,,,,,,,,,,,,"4",,,,,
"050224","HOAG MEMORIAL HOSPITAL PRESBYTERIAN","One Hoag Drive","Newport Beach",,"CA","92663",9497644624,97,3,0,98,90,8,2,94,91,7,2,95,90,9,1,96,,2388,716,30,04/01/2017,03/31/2018
"050226","AHMC ANAHEIM REGIONAL MEDICAL CENTER","1111 W La Palma Avenue","Anaheim",,"CA","92801",7147741450,95,5,0,97,87,10,3,92,83,15,2,93,81,18,1,94,,1332,296,24,04/01/2017,03/31/2018
"050235","PROVIDENCE SAINT JOSEPH MEDICAL CTR","4180 W 190th St","Torrance",,"CA","90504",8188435111,95,4,1,97,85,11,4,90,81,15,4,92,82,15,3,93,,1296,302,23,04/01/2017,03/31/2018
"050238","METHODIST HOSPITAL OF SOUTHERN CA","300 W Huntington Dr","Arcadia",,"CA","91006",6268988000,,,,,,,,,,,,,,,,,"4",,,,,
"050245","ARROWHEAD REGIONAL MEDICAL CENTER","400 North Pepper Avenue","Colton",,"CA","92324",9095801000,91,8,1,95,87,10,3,92,79,13,8,91,76,19,5,90,,1328,203,15,04/01/2017,03/31/2018
"050261","SIERRA VIEW MEDICAL CENTER","465 W Putnam Ave","Porterville",,"CA","93257",5597841110,,,,,,,,,,,,,,,,,"4",,,,,
"050262","RONALD REAGAN U C L A MEDICAL CENTER","757 Westwood Plaza","Los Angeles",,"CA","90095",3108256301,96,4,0,98,90,8,2,94,88,11,1,95,86,11,3,94,,3704,992,27,04/01/2017,03/31/2018
"050276","CONTRA COSTA REGIONAL MEDICAL CENTER","2500 Alhambra Avenue","Martinez",,"CA","94553",9253705000,,,,,,,,,,,,,,,,,"4",,,,,
"050278","PROVIDENCE HOLY CROSS MEDICAL CENTER","15031 Rinaldi St","Mission Hills",,"CA","91346",8183658051,95,4,1,97,86,11,3,91,87,11,2,94,83,13,4,92,,1841,432,23,04/01/2017,03/31/2018
"050281","ALHAMBRA HOSPITAL MEDICAL CENTER","100 S Raymond Ave","Alhambra",,"CA","91801",6265701606,94,5,1,96,84,12,4,90,79,19,2,93,80,17,3,92,,1642,157,15,04/01/2017,03/31/2018
"050289","SETON MEDICAL CENTER","1900 Sullivan Avenue","Daly City",,"CA","94015",6509924000,,,,,,,,,,,,,,,,,"4",,,,,
"050290","PROVIDENCE SAINT JOHN'S HEALTH CENTER","2121 Santa Monica Blvd","Santa Monica",,"CA","90404",3108295511,96,3,1,98,89,8,3,93,87,11,2,94,89,10,1,96,,2769,770,28,04/01/2017,03/31/2018
"050291","SUTTER SANTA ROSA REGIONAL HOSPITAL","30 Mark West Springs Rd","Santa Rosa",,"CA","95403",7075764000,96,4,0,98,88,10,2,93,85,13,2,94,82,16,2,93,,1541,441,29,04/01/2017,03/31/2018
"050300","ST MARY MEDICAL CENTER","18300 Highway 18","Apple Valley",,"CA","92307",7602422311,,,,,,,,,,,,,,,,,"4",,,,,
"050301","ADVENTIST HEALTH UKIAH VALLEY","275 Hospital Drive","Ukiah",,"CA","95482",7074623111,95,4,1,97,88,10,2,93,81,16,3,93,82,17,1,94,,2719,553,21,04/01/2017,03/31/2018
"050305","ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP","2450 Ashby Avenue","Berkeley",,"CA","94705",5102044444,93,6,1,96,87,10,3,92,74,20,6,90,73,22,5,89,,2817,686,24,04/01/2017,03/31/2018
"050309","SUTTER ROSEVILLE MEDICAL CENTER","One Medical Plaza","Roseville",,"CA","95661",3108238911,97,3,0,98,91,7,2,95,92,6,2,96,90,8,2,96,,1447,435,30,04/01/2017,03/31/2018
"050313","SUTTER TRACY COMMUNITY HOSPITAL","1420 N Tracy Blvd","Tracy",,"CA","95376",2098351500,94,5,1,96,90,7,3,93,81,14,5,92,78,18,4,90,,1848,387,21,04/01/2017,03/31/2018
"050315","KERN MEDICAL CENTER","1700 Mount Vernon Avenue","Bakersfield",,"CA","93306",6613262000,,,,,,,,,,,,,,,,,"4",,,,,
"050324","SCRIPPS MEMORIAL HOSPITAL LA JOLLA","9888 Genesee Avenue","La Jolla",,"CA","92037",8586264123,,,,,,,,,,,,,,,,,"4",,,,,
"050329","CORONA REGIONAL MEDICAL CENTER","800 South Main Street","Corona",,"CA","92882",9517366240,94,5,1,97,87,10,3,92,76,19,5,91,72,22,6,88,,1546,368,24,04/01/2017,03/31/2018
"050335","ADVENTIST HEALTH SONORA","1000 Greenley Road","Sonora",,"CA","95370",2095365000,98,2,0,99,90,8,2,94,84,13,3,93,79,18,3,92,,2865,905,32,04/01/2017,03/31/2018
"050350","BEVERLY HOSPITAL","309 W Beverly Blvd","Montebello",,"CA","90640",3237261222,94,5,1,96,84,12,4,90,80,17,3,92,73,19,8,87,,1186,260,22,04/01/2017,03/31/2018
"050351","TORRANCE MEMORIAL MEDICAL CENTER","3330 Lomita Blvd","Torrance",,"CA","90509",3103259110,,,,,,,,,,,,,,,,,"4",,,,,
"050353","PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE","4101 Torrance Blvd","Torrance",,"CA","90503",3105407676,96,3,1,98,88,9,3,93,86,12,2,94,85,13,2,94,,3346,906,27,04/01/2017,03/31/2018
"050357","GOLETA VALLEY COTTAGE HOSPITAL","351 S Patterson Ave","Santa Barbara",,"CA","93111",8059673411,,,,,,,,,,,,,,,,,"4",,,,,
"050382","CITRUS VALLEY MEDICAL CENTER-IC CAMPUS","210 W  San Bernardino Road","Covina",,"CA","91723",6268142468,94,5,1,97,86,10,4,91,79,17,4,92,77,19,4,90,,1801,317,18,04/01/2017,03/31/2018
"050390","HEMET VALLEY MEDICAL CENTER","1117 E Devonshire","Hemet",,"CA","92543",9516522811,,,,,,,,,,,,,,,,,"4",,,,,
"050394","COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA","147 North Brent St","Ventura",,"CA","93003",8056525011,93,6,1,96,88,9,3,92,80,15,5,92,78,20,2,91,,1045,283,29,04/01/2017,03/31/2018
"050396","SANTA BARBARA COTTAGE HOSPITAL","400 West Pueblo Street","Santa Barbara",,"CA","93105",8056827111,,,,,,,,,,,,,,,,,"4",,,,,
"050411","KAISER FOUNDATION HOSPITAL - SOUTH BAY","25825 South Vermont Avenue","Harbor City",,"CA","90710",3103255111,,,,,,,,,,,,,,,,,"4",,,,,
