State,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
"CA","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.888","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CO","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.756","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CT","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.102","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DC","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.080","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DE","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.295","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"FL","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.839","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GA","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.011","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GU","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"HI","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.404","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IA","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.761","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ID","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.645","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IL","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.703","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IN","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.970","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KS","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.946","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KY","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.861","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"LA","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.987","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MA","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.817","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MD","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.982","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ME","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.201","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MI","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.820","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MN","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.952","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MO","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.908","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MP","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MS","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.039","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MT","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.780","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NC","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.095","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ND","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.014","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NE","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.033","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NH","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.923","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NJ","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.794","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NM","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.968","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NV","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.045","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NY","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.948","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OH","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.812","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OK","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.914","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OR","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.782","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PA","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.873","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PR","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.962","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"RI","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.398","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SC","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.983","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SD","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.925","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TN","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.859","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TX","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.923","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"UT","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.717","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VA","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.866","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VI","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VT","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.191","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WA","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.735","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WI","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.925","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WV","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.935","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WY","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.239","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AK","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.622","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AL","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.785","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AR","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","1.021","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AS","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AZ","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.605","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CA","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.804","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CO","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.540","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CT","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.824","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DC","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.747","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DE","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.739","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"FL","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.744","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GA","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.856","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GU","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"HI","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.167","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IA","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.503","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ID","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.298","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IL","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.582","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IN","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.785","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KS","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.658","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KY","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.659","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"LA","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.782","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MA","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.657","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MD","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.775","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ME","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.689","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MI","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.678","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MN","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.731","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MO","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.734","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MP","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MS","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.763","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MT","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.249","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NC","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.933","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ND","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.568","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NE","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.695","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NH","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.479","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NJ","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.636","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NM","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.576","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NV","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.794","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NY","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.845","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OH","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.685","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OK","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.714","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OR","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.525","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PA","Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit","HAI_1_CI_LOWER","0.760","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
