Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,STTag,Score,Sample,Footnote,Measure Start Date,Measure End Date
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","6022226444","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","6022226444","Emergency Department","OP-20","Door to diagnostic eval","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","6022226444","Emergency Department","OP-21","Median time to pain med","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","6022226444","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","6022226444","Blood Clot Prevention and Treatment","VTE-6","Hospital acquired potentially preventable venous thromboembolism","Percentage","Not Available","5","1 - The number of cases/patients is too few to report.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Emergency Department","ED-1b","Median time from ED arrival to ED departure for admitted ED patients","Minutes","406","645","2 - Data submitted were based on a sample of cases/patients.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Emergency Department","ED-2b","Admit Decision Time to ED Departure Time for Admitted Patients","Minutes","256","639","2 - Data submitted were based on a sample of cases/patients.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Preventive Care","IMM-2","Patients assessed and given influenza vaccination","Percentage","61","605","2 - Data submitted were based on a sample of cases/patients.","10/01/2016","03/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Heart Attack or Chest Pain","OP-1","Median Time to Fibrinolysis","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Heart Attack or Chest Pain","OP-4","Aspirin at Arrival","Percentage","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Heart Attack or Chest Pain","OP-5","Median Time to ECG","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Emergency Department","OP-20","Door to diagnostic eval","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Emergency Department","OP-21","Median time to pain med","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Emergency Department","OP-23","Head CT results","Percentage","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","Blood Clot Prevention and Treatment","VTE-6","Hospital acquired potentially preventable venous thromboembolism","Percentage","0","25","","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Emergency Department","ED-1b","Median time from ED arrival to ED departure for admitted ED patients","Minutes","264","546","2 - Data submitted were based on a sample of cases/patients.","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Emergency Department","ED-2b","Admit Decision Time to ED Departure Time for Admitted Patients","Minutes","148","538","2 - Data submitted were based on a sample of cases/patients.","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Preventive Care","IMM-2","Patients assessed and given influenza vaccination","Percentage","91","274","2 - Data submitted were based on a sample of cases/patients.","10/01/2016","03/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Heart Attack or Chest Pain","OP-1","Median Time to Fibrinolysis","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Heart Attack or Chest Pain","OP-4","Aspirin at Arrival","Percentage","92","114","","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Heart Attack or Chest Pain","OP-5","Median Time to ECG","Minutes","11","124","","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","138","349","2 - Data submitted were based on a sample of cases/patients.","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Emergency Department","OP-20","Door to diagnostic eval","Minutes","36","304","2 - Data submitted were based on a sample of cases/patients.","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Emergency Department","OP-21","Median time to pain med","Minutes","98","30","2 - Data submitted were based on a sample of cases/patients.","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Emergency Department","OP-23","Head CT results","Percentage","Not Available","3","1 - The number of cases/patients is too few to report.","01/01/2017","12/31/2017"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","Blood Clot Prevention and Treatment","VTE-6","Hospital acquired potentially preventable venous thromboembolism","Percentage","Not Available","2","1 - The number of cases/patients is too few to report.","01/01/2017","12/31/2017"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","Emergency Department","ED-1b","Median time from ED arrival to ED departure for admitted ED patients","Minutes","254","182","2 - Data submitted were based on a sample of cases/patients.","01/01/2017","12/31/2017"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","Emergency Department","ED-2b","Admit Decision Time to ED Departure Time for Admitted Patients","Minutes","100","135","2 - Data submitted were based on a sample of cases/patients.","01/01/2017","12/31/2017"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","Preventive Care","IMM-2","Patients assessed and given influenza vaccination","Percentage","84","291","2 - Data submitted were based on a sample of cases/patients.","10/01/2016","03/31/2017"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","Heart Attack or Chest Pain","OP-1","Median Time to Fibrinolysis","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","Heart Attack or Chest Pain","OP-2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Percentage","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","Heart Attack or Chest Pain","OP-3b","Median Time to Transfer to Another Facility for Acute Coronary Intervention","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","Heart Attack or Chest Pain","OP-4","Aspirin at Arrival","Percentage","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","Heart Attack or Chest Pain","OP-5","Median Time to ECG","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","Emergency Department","OP-18b","Median time from ED arrival to ED departure for discharged ED patients","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","Emergency Department","OP-20","Door to diagnostic eval","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","Emergency Department","OP-21","Median time to pain med","Minutes","Not Available","Not Available","7 - No cases met the criteria for this measure.","01/01/2017","12/31/2017"
