Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,8,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,92,533,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,100,571,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,97,333,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),69,333,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.09,4218,,1/1/2016,12/31/2016
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.08,4218,,1/1/2016,12/31/2016
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,3,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,55,290,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,99,404,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,26,98,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),21,98,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,1.86,5104,,1/1/2016,12/31/2016
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,5104,,1/1/2016,12/31/2016
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,8,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,79,392,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,83,553,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,17,139,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),13,139,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,1.01,3076,,1/1/2016,12/31/2016
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,3076,,1/1/2016,12/31/2016
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,10,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,45,327,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,94,440,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,23,114,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),14,114,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,100,174,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,100,317,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,66,142,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),42,142,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.12,6084,,1/1/2016,12/31/2016
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.17,6084,,1/1/2016,12/31/2016
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,7,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,84,344,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,99,442,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,0,107,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),0,107,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.07,4810,,1/1/2016,12/31/2016
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.12,4810,,1/1/2016,12/31/2016
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,6,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,96,481,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,100,637,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,15,159,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),14,159,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,9736761000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.33,12347,,1/1/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,9736761000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,12347,,1/1/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,9736761000,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,74,19,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,9736761000,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,40,438,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,9736761000,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,97,537,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,9736761000,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,5,224,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,9736761000,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),3,224,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,14530,,1/1/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.14,14530,,1/1/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,45,22,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,99,375,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,100,455,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,95,257,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),52,257,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,1.67,11318,,1/1/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.01,11318,,1/1/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,1,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,97,651,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
